statisticalID,name,partOf,code,physicalType
MX21020,Atoyatempan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30022,Atzacan,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX21021,Atzala,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30023,Atzalan,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX21022,Atzitzihuacán,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX21023,Atzitzintla,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX14015,Autlán de Navarro,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX15016,Axapusco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX17003,Axochiapan,Location/MX17,ADMIN_STRUCTURE,Jurisdiction
MX24053,Axtla de Terrazas,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX21024,Axutla,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30025,Ayahualulco,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX17004,Ayala,Location/MX17,ADMIN_STRUCTURE,Jurisdiction
MX15017,Ayapango,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX20398,Ayoquezco de Aldama,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX14016,Ayotlán,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX21025,Ayotoxco de Guerrero,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX20009,Ayotzintepec,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX14017,Ayutla,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX12012,Ayutla de los Libres,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX09002,Azcapotzalco,Location/MX09,ADMIN_STRUCTURE,Jurisdiction
MX12013,Azoyú,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX31004,Baca,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX26008,Bacadéhuachi,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX23010,Bacalar,Location/MX23,ADMIN_STRUCTURE,Jurisdiction
MX26009,Bacanora,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX26010,Bacerac,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX08006,Bachíniva,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX26011,Bacoachi,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX26012,Bácum,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX25003,Badiraguato,Location/MX25,ADMIN_STRUCTURE,Jurisdiction
MX18020,Bahía de Banderas,Location/MX18,ADMIN_STRUCTURE,Jurisdiction
MX27001,Balancán,Location/MX27,ADMIN_STRUCTURE,Jurisdiction
MX08007,Balleza,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX26013,Banámichi,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX30026,Banderilla,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX08008,Batopilas,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX26014,Baviácora,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX26015,Bavispe,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX07010,Bejucal de Ocampo,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX07011,Bella Vista,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX07114,Benemérito de las Américas,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX09014,Benito Juárez,Location/MX09,ADMIN_STRUCTURE,Jurisdiction
